Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Fund construction of new fighter jets,https://petition.parliament.uk/petitions/715946,closed,50,715946,2025-04-04,,,2025-10-04
Protect the 6 Nations Championship & Ensure Live Free to Air Broadcast,https://petition.parliament.uk/petitions/715965,closed,37,715965,2025-04-04,,,2025-10-04
Require sports to be available on free to air tv,https://petition.parliament.uk/petitions/715973,closed,144,715973,2025-03-21,,,2025-09-21
Abolish tuition fees for healthcare courses and pay students on NHS placements,https://petition.parliament.uk/petitions/716001,closed,8588,716001,2025-03-24,,,2025-09-24
Change the law so all investors can vote their shares,https://petition.parliament.uk/petitions/716003,closed,2580,716003,2025-04-01,,,2025-10-01
Fund more A&E services,https://petition.parliament.uk/petitions/716009,closed,45,716009,2025-05-07,,,2025-11-07
Make predatory lenders illegal in the UK,https://petition.parliament.uk/petitions/716015,closed,64,716015,2025-03-21,,,2025-09-21
Drivers arrested for drug driving to be banned immediately,https://petition.parliament.uk/petitions/716024,closed,252,716024,2025-03-24,,,2025-09-24
Reform Dog Laws: Licensing & Mandatory Training Instead of Breed Bans,https://petition.parliament.uk/petitions/716062,closed,93,716062,2025-04-04,,,2025-10-04
Make it legal responsibility for homeowners to maintain property exteriors,https://petition.parliament.uk/petitions/716071,closed,25,716071,2025-03-27,,,2025-09-27
"Make it illegal to use ""enriched"" cages in farming ",https://petition.parliament.uk/petitions/716075,closed,97,716075,2025-03-28,,,2025-09-28
Ban the residential use of artificial grass,https://petition.parliament.uk/petitions/716095,closed,3274,716095,2025-03-26,,,2025-09-26
Teach Clare’s Law in school for young females & males,https://petition.parliament.uk/petitions/716100,closed,60,716100,2025-03-21,,,2025-09-21
Increase personal tax allowance for single parents,https://petition.parliament.uk/petitions/716144,closed,77,716144,2025-04-02,,,2025-10-02
Mandate life with minimum 40-year tariff for murder if the body is dismembered,https://petition.parliament.uk/petitions/716152,closed,65,716152,2025-03-27,,,2025-09-27
Make the Tour de France a Category A event so it is free-to-air,https://petition.parliament.uk/petitions/716157,closed,18471,716157,2025-04-01,,,2025-10-01
Require personal care in care homes to be done by carers of the same sex ,https://petition.parliament.uk/petitions/716189,closed,51,716189,2025-04-04,,,2025-10-04
Fund making Pet Neutering Free for all animals,https://petition.parliament.uk/petitions/716205,closed,56,716205,2025-03-24,,,2025-09-24
Change the law to allow 17 year olds to purchase alcohol in a pub,https://petition.parliament.uk/petitions/716208,closed,25,716208,2025-04-01,,,2025-10-01
Commit to not removing the presumption of parental involvement,https://petition.parliament.uk/petitions/716228,closed,920,716228,2025-05-20,,,2025-11-20
Change the law to tell parents if their child threatens suicide to a doctor,https://petition.parliament.uk/petitions/716245,closed,1541,716245,2025-04-02,,,2025-10-02
Require all workplaces to have Neurodiversity Advocates,https://petition.parliament.uk/petitions/716250,closed,154,716250,2025-03-21,,,2025-09-21
Non-molestation orders to be heard in magistrate or crown court not family court,https://petition.parliament.uk/petitions/716287,closed,25,716287,2025-05-16,,,2025-11-16
Require car parks to have an on-site payment point,https://petition.parliament.uk/petitions/716309,closed,146,716309,2025-03-26,,,2025-09-26
Require companies to provide information about supply chains for all products,https://petition.parliament.uk/petitions/716356,closed,54,716356,2025-03-28,,,2025-09-28
Replace RE with 'Equality and acceptance' in the national curriculum ,https://petition.parliament.uk/petitions/716357,closed,31,716357,2025-03-28,,,2025-09-28
Do not extend the BBC TV license fee to streaming services,https://petition.parliament.uk/petitions/716361,closed,353,716361,2025-03-20,,,2025-09-20
Require all MPs to publish their tax returns by law,https://petition.parliament.uk/petitions/716393,closed,687,716393,2025-03-24,,,2025-09-24
Stop building solar/wind farms until a cost-benefit analysis is made public,https://petition.parliament.uk/petitions/716397,closed,3396,716397,2025-04-03,,,2025-10-03
Stop benefits and free healthcare for immigrants who have not worked in the UK,https://petition.parliament.uk/petitions/716399,closed,12936,716399,2025-03-24,,,2025-09-24
Require airlines to allow name changes if a passenger can’t travel,https://petition.parliament.uk/petitions/716438,closed,32,716438,2025-03-26,,,2025-09-26
Increase Funding for Mental Health Services in Schools for Students’ Well-being,https://petition.parliament.uk/petitions/716442,closed,285,716442,2025-03-31,,,2025-09-30
Introduce a new enforcement scheme for businesses that violate the Equality Act ,https://petition.parliament.uk/petitions/716461,closed,34,716461,2025-04-02,,,2025-10-02
Require financial service providers to issue updates about service disruptions,https://petition.parliament.uk/petitions/716471,closed,28,716471,2025-03-25,,,2025-09-25
Review and strengthen enforcement of housing and equality laws in rental sector,https://petition.parliament.uk/petitions/716476,closed,28,716476,2025-04-02,,,2025-10-02
Review safeguarding of disabled children in schools and accessibility ,https://petition.parliament.uk/petitions/716491,closed,48,716491,2025-04-03,,,2025-10-03
Equalise the minimum wage for 18-20 year olds and 21+ workers,https://petition.parliament.uk/petitions/716492,closed,61,716492,2025-03-31,,,2025-09-30
Remove CWS Bill clauses and provide tangible support to home educating parents,https://petition.parliament.uk/petitions/716515,closed,32576,716515,2025-04-01,,,2025-10-01
Allow care workers to bring their families to the UK,https://petition.parliament.uk/petitions/716517,closed,327,716517,2025-03-25,,,2025-09-25
Take action to improve waiting times for access to work applications,https://petition.parliament.uk/petitions/716527,closed,573,716527,2025-03-27,,,2025-09-27
Abolish personal allowance tapering,https://petition.parliament.uk/petitions/716530,closed,40,716530,2025-04-22,,,2025-10-22
Review protections for victims to keep custody of their children,https://petition.parliament.uk/petitions/716548,closed,110,716548,2025-04-03,,,2025-10-03
Require the use of sexed language in government-funded health communications ,https://petition.parliament.uk/petitions/716553,closed,12139,716553,2025-04-01,,,2025-10-01
Introduce 18 year residency and English language requirements to vote in general,https://petition.parliament.uk/petitions/716570,closed,341,716570,2025-04-03,,,2025-10-03
Define Anti-Palestinian Racism (APR) & launch an inquiry into APR,https://petition.parliament.uk/petitions/716576,closed,5017,716576,2025-03-24,,,2025-09-24
Review enforcement of law around vehicle transporter licenses ,https://petition.parliament.uk/petitions/716587,closed,28,716587,2025-04-01,,,2025-10-01
Apply sanctions to the US,https://petition.parliament.uk/petitions/716617,closed,53,716617,2025-04-25,,,2025-10-25
Require food establishments to have adrenaline autoinjectors readily available,https://petition.parliament.uk/petitions/716622,closed,42,716622,2025-03-27,,,2025-09-27
Criminalise homophobia and transphobia,https://petition.parliament.uk/petitions/716635,closed,1239,716635,2025-04-01,,,2025-10-01
Triple government spending on expanding prison capacity,https://petition.parliament.uk/petitions/716652,closed,35,716652,2025-03-24,,,2025-09-24
Recognise the production and serving of cask ale as Intangible Cultural Heritage,https://petition.parliament.uk/petitions/716686,closed,41026,716686,2025-04-01,,,2025-10-01
Improve regulations of holiday rental properties,https://petition.parliament.uk/petitions/716706,closed,71,716706,2025-03-27,,,2025-09-27
Extend universal credit payments to cover 53 week rent years,https://petition.parliament.uk/petitions/716711,closed,67,716711,2025-03-27,,,2025-09-27
"Hold a referendum on any proposal to transfer UK overseas territory
",https://petition.parliament.uk/petitions/716731,closed,79,716731,2025-03-25,,,2025-09-25
Introduce legal standards for hedgehog houses,https://petition.parliament.uk/petitions/716755,closed,218,716755,2025-03-25,,,2025-09-25
Require care homes to have a 1 to 5 staff to resident ratio,https://petition.parliament.uk/petitions/716756,closed,39,716756,2025-03-28,,,2025-09-28
Require venues to have full accessibility info on their websites,https://petition.parliament.uk/petitions/716757,closed,777,716757,2025-03-26,,,2025-09-26
"Make ""Stolen Valour"" a Criminal Offence",https://petition.parliament.uk/petitions/716765,closed,2472,716765,2025-03-25,,,2025-09-25
Exempt workers over 60 from National Insurance payments,https://petition.parliament.uk/petitions/716793,closed,454,716793,2025-03-31,,,2025-09-30
Stop the DVLA selling information to private companies,https://petition.parliament.uk/petitions/716819,closed,105,716819,2025-03-28,,,2025-09-28
Hold an urgent Citizens’ Assembly on AI and enact its recommendations,https://petition.parliament.uk/petitions/716823,closed,85,716823,2025-03-24,,,2025-09-24
Prevent the switching off of analogue landlines and fund public payphones,https://petition.parliament.uk/petitions/716843,closed,69,716843,2025-03-31,,,2025-09-30
Introduce publicly accessible naloxone distribution points in high risk areas,https://petition.parliament.uk/petitions/716866,closed,34,716866,2025-03-25,,,2025-09-25
Stronger Product Safety & Copyright protection on Non-UK E-Commerce Platforms,https://petition.parliament.uk/petitions/716873,closed,159,716873,2025-03-28,,,2025-09-28
